title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
The Brown Bunny,10000000,tt0330099,en,The Brown Bunny,"Bud Clay races motorcycles in the 250cc Formula II class of road racing. After a race in New Hampshire, he has five days to get to his next race in California. During his road trip, he is haunted by memories of the last time he saw Daisy, his true love.",27/08/2004,93.0,"I'm not going to be okay, Bud.",365734
The Duchess,17759769,tt0864761,en,The Duchess,"A chronicle of the life of 18th century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life.",05/09/2008,110.0,Based on the incredible true story.,43306325
Ghost Town,0,tt0995039,en,Ghost Town,"Dentist, Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",19/09/2008,102.0,He sees dead people... and they annoy him.,27074492
Teeth,0,tt0780622,en,Teeth,"Dawn is an active member of her high-school chastity club but, when she meets Tobey, nature takes its course, and the pair answer the call. They suddenly learn she is a living example of the vagina dentata myth, when the encounter takes a grisly turn.",19/01/2007,94.0,Every rose has its thorns.,2340110
American Me,0,tt0103671,en,American Me,"Edward J. Olmos made his directorial bow with the powerhouse crime saga American Me. Olmos stars as street-gang leader Santana, who during his 18 years in Folsom Prison rules over all the drug-and-murder activities behind bars. Upon his release, Santana goes back to his old neighborhood, intending to lead a peaceful, crime-free life. But his old gang buddies force him back into his old habits. The",13/03/1992,125.0,In prison they are the law. On the streets they are the power.,13
A Chinese Odyssey Part One: Pandora's Box,0,tt0112778,cn,è¥¿éŠè¨˜ç¬¬å£¹ä½°é›¶å£¹å›žä¹‹æœˆå…‰å¯¶ç›’,"Fantasy adventure about the arrival of Buddhism in China. When the Goddess of Happiness tosses the Longevity Monk and his disciples out of heaven (because the Monkey King tried to attain immortality), the Monkey King is reincarnated as the Joker. He now spends his time chasing two jealous women. When one of them is dying, the Joker goes back in time in an attempt to save her.",21/01/1995,88.0,,3237520
Malibu's Most Wanted,0,tt0328099,en,Malibu's Most Wanted,"Bill Gluckman, a wealthy white Jewish senator is running for the office of Governor. His son ""B-Rad"" dresses, speaks, and acts as if he were a gangster from the inner city. The campaign team members hire two actors, who don't know any more about inner-city life than B-Rad, to act as gang members, kidnap him, and take him to South Central Los Angeles where they hope Brad will be ""scared white"".",10/04/2003,86.0,,34000000
Japanese Story,0,tt0304229,en,Japanese Story,"Against the background of an Australian desert landscape, so much space and so few people, Sandy, a geologist, and Hiromitsu, a Japanese businessman, play out a story of human inconsequence in the face of the blistering universe. The end of the journey leaves no-one capable of going back to where they started from.",25/09/2003,110.0,,424707060
The Tracker,0,tt0212132,en,The Tracker,"The film is set in the early 20th century Australian outback, where four men are following an Aboriginal man who has been accused of murder. The characters in the film are referred to by their characters rather than by name.",08/08/2002,90.0,"1922, somewhere in Australia...Some men lead, others follow.",442000
Withnail & I,0,tt0094336,en,Withnail & I,"Two 'resting' actors living in a squalid Camden Flat - and living off a diet of booze and pills - take a trip to a country house (belonging to Withnailâ€™s uncle) to 'rejuvenate'. Faced with bad weather, altercations with the locals, and the unexpected arrival (and advances) of Uncle Monty, the pairs wits and friendship are tested...  Set in 1969, the year in which the hippy dreams of so many young Englishmen went sour, 1986's Bruce Robinson's Withnail and I is an enduring British cult. Withnail is played by the emaciated but defiantly effete Richard E Grant, ""I"" (i.e., Marwood) by Paul McGann. Out-of-work actors living in desperate penury in a rancid London flat, their lives are a continual struggle to keep warm, alive and in Marwood's case sane, until the pubs open.  A sojourn in the country cottage of Withnail's Uncle Monty only redoubles their privations.",01/01/1987,107.0,"If you don't remember the sixties, don't worry - neither did they.",1544889
Empire Records,0,tt0112950,en,Empire Records,The employees of an independent music store learn about each other as they try anything to stop the store being absorbed by a large chain.,22/09/1995,90.0,They're selling music but not selling out.,303
The Kovak Box,0,tt0455584,en,The Kovak Box,"David Norton is used to being in control. As a best-selling author, he decides the fate of his characters, their lives and their deaths. But what happens when his fictional world becomes all too real?",18/07/2006,102.0,,1916745
Locked Out,0,tt0442207,en,EnfermÃ©s dehors,"Once upon a time, somewhere... a homeless guy finds a policeman's uniform...",05/04/2006,78.0,,3666789
Fly Me to the Moon,25000000,tt0486321,en,Fly Me to the Moon,Three young houseflies stow away aboard the Apollo 11 flight to the moon.,15/08/2008,84.0,First ever animated movie created for 3D,41412264
Return to Snowy River,6830000,tt0095993,en,Return to Snowy River,"After a few years trying to earn money to marry Jessica Harrison (Sigrid Thornton), Jim Craig (Tom Burlinson) returns to Snowy River. But he finds that a lot of things have changed.",24/03/1988,110.0,The man is back!,10743000
Slacker,0,tt0102943,en,Slacker,"Presents a day in the life in Austin, Texas among its social outcasts and misfits, predominantly the twenty-something set, using a series of linear vignettes. These characters, who in some manner just don't fit into the establishment norms, move seamlessly from one scene to the next, randomly coming and going into one another's lives.",05/07/1991,97.0,,1228108
The Painted Veil,19400000,tt0446755,en,The Painted Veil,"A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife.",09/12/2006,125.0,Sometimes the greatest journey is the distance between two people.,26522838
Wind Chill,6000000,tt0486051,en,Wind Chill,"Two college students share a ride home for the holidays. When they break down on a deserted stretch of road, they're preyed upon by the ghosts of people who have died there.",27/04/2007,91.0,There Are Worse Things Than Dying,285000
The Thin Blue Line,0,tt0096257,en,The Thin Blue Line,Errol Morris's unique documentary dramatically re-enacts the crime scene and investigation of a police officer's murder in Dallas.,28/08/1988,103.0,"A softcore movie, Dr. Death, a chocolate milkshake, a nosey blonde and ""The Carol Burnett Show."" Solving this mystery is going to be murder.",1209846
Cadillac Records,12000000,tt1042877,en,Cadillac Records,"The story of sex, violence, race and rock and roll in 1950s Chicago, and the exciting but turbulent lives of some of America's musical legends, including Muddy Waters, Leonard Chess, Little Walter, Howlin' Wolf, Etta James and Chuck Berry.",05/12/2008,109.0,,8880045
Almost Heroes,30000000,tt0119053,en,Almost Heroes,"Two hapless explorers lead an ill-fated 1804 expedition through the Pacific Northwest in a hopeless, doomed effort to reach the Pacific Ocean before Lewis and Clark.",29/05/1998,90.0,Almost History... Almost Legends... Mostly Ridiculous.,6100000
Sarkar Raj,820000,tt0490210,en,Sarkar Raj,"The politically influential Shankar Nagre agrees to back a power plant scheme presented by corporate hotshot Anita Rajan; providing their enemies, which include upcoming political firebrands, an embezzling facilitator and shady businessmen with a unique opportunity to destroy the mass political clout enjoyed by him and his father (Subhash Nagre), the political icon known as ""Sarkar"".",06/06/2008,125.0,,8130000
After the Thin Man,0,tt0027260,en,After the Thin Man,"Nora's cousin Selma asks Nick to find her unfaithful missing husband. The husband is soon located, then a series of murders follow. Can Nick get to the bottom of things?",25/12/1936,112.0,Continuing the fun in their NEW hit!,3165000
Dogfight,0,tt0101748,en,Dogfight,"In the fall of 1963, Eddie Birdlace is an 18-year-old Marine Corps volunteer who is about to ship out with three of his buddies for a tour of duty in Viet Nam. Planning a massive blowout for their last night in San Francisco, Eddie, his buddies, and a number of other Marines set up a contest they call a ""dog fight.""",13/09/1991,94.0,,397631
How to Get Ahead in Advertising,0,tt0097531,en,How to Get Ahead in Advertising,"Dennis Dimbleby Bagley is a brilliant young advertising executive who canâ€™t come up with a slogan to sell a revolutionary new pimple cream. His obsessive worrying affects not only his relationship with his wife, his friends and his boss, but also his own bodyâ€”when he grows a large stress-related boil on his shoulder. But when the boil grows eyes and a mouth and starts talking.",05/05/1989,94.0,,418053
Miami Blues,0,tt0100143,en,Miami Blues,"When Fred gets out of prison, he decides to start over in Miami, where he starts a violent one-man crime wave. He soon meets up with amiable college student Susie. Opposing Fred is Sgt Hoke Moseley, a cop who is getting a bit old for the job, especially since the job of cop in 1980's Miami is getting crazier all the time.",20/04/1990,97.0,Real badge. Real gun. Fake cop.,9
Fat Albert,0,tt0396592,en,Fat Albert,"An obese boy named Fat Albert and his friends Rudy, Mushmouth, Bill, Dumb Donald, Russell, and Weird Harold, pulls into trouble when they ""fall"" out of their TV world into the real world, where Fat Albert tries to help a young girl, Doris, make friends.",12/12/2004,93.0,,48563556
Speechless,0,tt0111256,en,Speechless,A romantic comedy. Michael Keaton and Geena Davis are speechwriters for competing political campaigns. Witty and amusing for the political junkies amongst us.,16/12/1994,99.0,There are two sides to every relationship... Don't trust either of them.,20667959
Breakin',1200000,tt0086998,en,Breakin',A struggling young dancer joins forces with two breakdancers and together they become a street sensation.,10/01/1984,90.0,The beat of the streets is...,38682707
Atlantis,0,tt0101376,en,Atlantis,"Atlantis is more visual art than nature film and a 'must see' for any Luc Besson fan. The film captures the feel of what it's actually like to swim underwater better than any film I've ever seen, perfectly illustrating the form and texture of sea water. Beautiful. Highly recommended for anyone interested in visual arts or diving.",21/08/1991,74.0,,138
Flowers in the Attic,0,tt0093036,en,Flowers in the Attic,"After the death of her husband, a mother takes her kids off to live with their grandparents in a huge, decrepit old mansion. However, the kids are kept hidden in a room just below the attic, visited only by their mother who becomes less and less concerned about them and their failing health, and more concerned about herself and the inheritence she plans to win back from her dying father.",20/11/1987,93.0,Home sweet home is murder.,15151736
Tokyo Decadence,0,tt0105622,ja,ãƒˆãƒ‘ãƒ¼ã‚º,"A submissive hooker goes about her trade, suffering abuse at the hands of Japanese salarymen and Yakuza types. She's unhappy about her work, and is apparently trying to find some sort of appeasement for the fact that her lover has married.",06/01/1992,135.0,Erotic sex or dangerous fantasy?,795312
Interiors,0,tt0077742,en,Interiors,"A look at a dysfunctional family dominated by the controlling madness of its matriarch, Eve. Her reluctant husband and their three daughters make doomed efforts to cope with Eve's demands, while also trying to get on with their own lives. But, all bets are off when an ebullient stranger enters the picture.",02/08/1978,93.0,,10400000
Raaz - The Mystery Continues...,6250000,tt1340838,hi,Raaz - The Mystery Continues...,"A beautiful lady turns up in an architect's masterpiece.When he founds that she is real, he realizes that she is haunted and hunted by the reasons they have to find out",23/01/2009,137.0,,8000000
Oye Lucky! Lucky Oye!,0,tt1292703,en,Oye Lucky! Lucky Oye!,"Inspired by the incredible true story of Lucky Singh, an extremely charismatic and fearless confident man and thief who socialized with the rich, famous and influential of Delhi society and then proceeded to rob them blind. He was the bÃªte noire of the police and had stolen millions by the time he was caught.",28/11/2008,0.0,,1700000
Day Zero,0,tt0768183,en,Day Zero,"The military draft is back. Three best friends are drafted and given 30 days to report for duty. In that time they're forced to confront everything they believe about courage, duty, love, friendship and honor. If called to serve, what would you do?",27/04/2007,92.0,Drafted... 30 days to report for ruty. What would you do?,16559
Thomas and the Magic Railroad,0,tt0205461,en,Thomas and the Magic Railroad,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lily and her morose grandfather, plus the secret engine.",26/07/2000,85.0,Little Engines CAN Do Big Things...,19748009
Dark Passage,0,tt0039302,en,Dark Passage,A man convicted of murdering his wife escapes from prison and works with a woman to try and prove his innocence.,27/09/1947,106.0,IN DANGER AS VIOLENT AS THEIR LOVE!!!,3430000
Career Opportunities,6000000,tt0101545,en,Career Opportunities,"Josie, the daughter of the town's wealthiest businessman, faces problems at home and wishes to leave town but is disoriented. Her decision is finalized after she falls asleep in a Target dressing room. She awakens to find herself locked in the store overnight with the janitor, Jim, the town ""no hoper"" and liar.",29/03/1991,83.0,He took the job that no one wanted... and got the girl that everyone did.,11336986
Killer Klowns from Outer Space,1800000,tt0095444,en,Killer Klowns from Outer Space,"Aliens, who look like clowns, arrive on Earth to capture and harvest people in order to use them as sustenance.",27/05/1988,88.0,"In space, no one can eat ice cream.",43625095
With Honors,0,tt0111732,en,With Honors,"Convinced he'll graduate with honors because of his thesis paper, a stuffy Harvard student finds his paper being held hostage by a homeless man, who might be the guy to school the young man in life.",29/04/1994,103.0,"If you want a degree go to Harvard, If you want an education go to Simon Wilder.",20016254
The Stupids,0,tt0117768,en,The Stupids,"An incredibly dull-witted family unknowingly stumble upon an illegal weapons deal while on the trail of their ""stolen"" garbage.",30/08/1996,94.0,As American as apple pie and twice as smart.,2491989
3 Ninjas,0,tt0103596,en,3 Ninjas,"Each year, three brothers Samuel, Jeffrey and Michael Douglas visits their Japanese grandfather, Mori Shintaro whom the boys affectionately refer to as Grandpa, for the summer. Mori is a highly skilled in the fields of Martial arts and Ninjutsu, and for years he has trained the boys in his techniques. After an organized crime ring proves to be too much for the FBI, it's time for the 3 brother NINJAS! To use their martial arts skills, they team up to battle the crime ring and outwit some very persistent kidnappers!",07/08/1992,84.0,Crosses Teenage Mutant Ninja Turtles and Home Alone!,29000301
Zu Warriors,0,tt0286098,cn,Shu shan zheng zhuan,"King Sky (Ekin Cheng), the sole disciple of the Kun Lun Sect, falls in love with his master Dawn (Cecilia Cheung). Dawn is killed when Insomnia destroys the Kin Lun Mountain. King Sky waits for two hundred years and meets Enigma (Cecilia Cheung), who is the reincarnation of Dawn, and in love with her again. However, Insomnia's Blood Clouds is ready to destroy Zu...",09/08/2001,104.0,"Surrender Your Illusion , Fight For Your Destiny",35000000
Hercules Returns,0,tt0107103,en,Hercules Returns,"When Brad gets fired from his job, he goes to reopen an old cinema, he enlists his frends to help him show the last film the cinema aired before it closed... Only they don't know, the film is in Italian. With everyone sitting ready they begin to dub the movie... on the fly!",16/09/1993,82.0,,213588
Luck By Chance,0,tt0886539,hi,Luck By Chance,"A struggling actor comes from Delhi to Bombay and enters the Hindi film industry. This gives the audience an in sight into what sometimes happens when making a movie and what happens in the industry and more when it involves the opposite sex and when you are working together. Zoya Akhtar, sister to Farhan Akhtar and daughter of Javed Akhtar, has done a superb job in her directorial debut in showin",27/03/2009,155.0,,3000000
Hero Wanted,7,tt0977214,en,Hero Wanted,"Liam Case is a garbage man whose life hasn't quite turned out the way he expected it would. In order to impress the girl of his dreams, Liam plans an elaborate heist that will culminate with him jumping in to save the day at the last minute. When the day of the heist arrives, however, the plan takes an unexpected turn and Liam winds up in the hospital.",28/03/2008,95.0,,10
This Gun for Hire,0,tt0035432,en,This Gun for Hire,"Hit man Philip Raven, who's kind to children and cats, kills a blackmailer and is paid off by traitor Willard Gates in ""hot"" money. Meanwhile, pert entertainer Ellen Graham, girlfriend of police Lieut. Crane (who's after Raven) is enlisted by a Senate committee to help investigate Gates. Raven, seeking Gates for revenge, meets Ellen on the train; their relationship gradually evolves from that of killer and potential victim to an uneasy alliance against a common enemy.",13/05/1942,81.0,Lover without a heart...killer without a conscience!,1000000
Bingo,0,tt0101455,en,Bingo,"Bingo, the runaway circus dog, is off the leash and saving Chuckie's life! Bingo and the boy become the best of friends in this canine comedy featuring doggy disguises and skateboarding, pinball and prison. Chuckie and his parents (Cindy Williams and David Rasche) are moving house, a thousand miles away, but Bingo won't be allowed to join them. Chuckie and Bingo's determination to be reunited is t",09/08/1991,90.0,More hip than humanly possible.,8667684
PokÃ©mon Ranger and the Temple of the Sea,0,tt1000095,en,PokÃ©mon Ranger and the Temple of the Sea,"On their way through the Battle Frontier, Ash and friends meet up with a PokÃ©mon Ranger who's mission is to deliever the egg of Manaphy to a temple on the ocean's floor. However, a greedy pirate wants the power of Manaphy to himself.",15/07/2006,107.0,,26900000
The Car Keys,569217,tt0383995,en,Les Clefs de bagnole,No overview found.,10/12/2003,90.0,,569217
Black Christmas,620000,tt0071222,en,Black Christmas,A sorority house is terrorized by a stranger who makes frightening phone calls and then murders the sorority sisters during Christmas break.,11/10/1974,98.0,"If this movie doesnâ€™t make your skin crawl, itâ€™s on too tight!",4053000
The Boxer,0,tt0118760,en,The Boxer,"Nineteen-year-old Danny Flynn is imprisoned for his involvement with the I.R.A. in Belfast. He leaves behind his family and his sixteen-year-old girlfriend, Maggie Hamill. Fourteen years later, Danny is released from prison and returns to his old working class neighborhood to resume his life as a boxer.",31/12/1997,114.0,Love is always worth fighting for.,16534578
Insanitarium,0,tt1103984,en,Insanitarium,"After he's institutionalized in order to cover for his sister, a young man encounters a doctor who is turning his patients into flesh-eating psychopaths",15/07/2008,89.0,,6
Eye for an Eye,20000000,tt0116260,en,Eye for an Eye,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",12/01/1996,101.0,What do you do when justice fails?,26877589
Grey Gardens,0,tt0073076,en,Grey Gardens,"An old mother and her middle-aged daughter, the aunt and cousin of Jacqueline Kennedy Onassis, live their eccentric lives in a filthy, decaying mansion in East Hampton.",27/09/1975,100.0,,30966
The Room,6000000,tt0368226,en,The Room,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. The happy-go-lucky guy sees his world fall apart when his friends begin to betray him one-by-one.",27/06/2003,99.0,Can you ever really trust anyone?,1800
Freaked,0,tt0109838,en,Freaked,"A vain actor, his best friend, and an activist end up at a mutant freak farm run by a weirdo scientist.",11/09/1993,86.0,A thinking man's stupid comedy.,29296
"He Said, She Said",0,tt0102011,en,"He Said, She Said","Womanising, right-wing Dan Hanson and quiet, liberal Lorie Bryer work for the Baltimore Sun. Rivals for the job of new writer of a vacant column, the paper ends up instead printing their very different opinions alongside each other, which leads to a similarly combative local TV show. At the same time their initial indifference to each other looks like it may evolve into something more romantic.",22/02/1991,115.0,,9804775
Witchboard,0,tt0090327,en,Witchboard,"Playing around with a Ouija board, a trio of friends succeeds in contacting the spirit of a young boy. Trouble begins when the evil spirit, Malfeitor, takes over one of their bodies.",31/12/1986,98.0,It's more than just a game.,7369373
Black Dog,0,tt0120610,en,Black Dog,An ex-con takes a job driving a truck cross country. What he doesn't know is that the truck is filled with illegal weapons and now he must fight to survive and save his family.,01/05/1998,88.0,The rules of the road are simple. Don't turn back.,12
The Country Bears,35000000,tt0276033,en,The Country Bears,"For Beary Barrington, The Country Bears' young #1 fan, fitting in with his all-too-human family is proving im-paws-ible. When he runs away to find Country Bear Hall and his heroes, he discovers the venue that made them famous is near foreclosure. Beary hightails it over the river and through the woods to get the Bears in the Band back together for an all-out reunion concert to save Country Bear Hall.",26/07/2002,88.0,It's A Bear Getting The Family Together!,18012097
Gummo,1300000,tt0119237,en,Gummo,"Solomon and Tummler are two teenagers killing time in Xenia, Ohio, a small town that has never recovered from the tornado that ravaged the community in the 1970s.",17/10/1997,89.0,,116799
The Celestine Prophecy,10000000,tt0398842,en,The Celestine Prophecy,"Based on James Redfield's worldwide best-selling novel, The Celestine Prophecy is a spiritual adventure film chronicling the discovery of ancient scrolls in the rainforests of Peru. The prophecy and its nine key insights predict a worldwide awakening, arising within all religious traditions, that moves humanity toward a deeper experience of spirituality.",01/06/2006,99.0,The book that changed our lives is now a movie,615752
3 Ninjas Kick Back,0,tt0109015,en,3 Ninjas Kick Back,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",06/05/1994,93.0,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure",11798854
"Godzilla, King of the Monsters!",650000,tt0197521,en,"Godzilla, King of the Monsters!","A 400-foot  dinosaur-like beast attacks Tokyo. Filmed in 1954 as Gojira, this grandaddy of all Japanese giant-reptile epics was picked up for American distribution two years later, at which time several newly filmed inserts, featuring Raymond Burr as reporter Steve Martin, were edited into the original footage.",27/04/1956,80.0,"Incredible, unstoppable titan of terror!",2000000
Phoebe in Wonderland,0,tt1034325,en,Phoebe in Wonderland,"The fantastical tale of a little girl who won't - or can't - follow the rules. Confounded by her clashes with the rule-obsessed world around her, Phoebe seeks enlightenment from her unconventional drama teacher, even as her brilliant but anguished mother looks to Phoebe herself for inspiration.",07/02/2008,96.0,Dare to dream your life.,73
Juliet of the Spirits,0,tt0059229,it,Giulietta degli spiriti,"Visions, memories, and mysticism all help a 40-something woman to find the strength to leave her cheating husband.",22/10/1965,137.0,Fellini's Masterpiece !,78550
The Big Brawl,0,tt0080436,en,The Big Brawl,A young Asian American martial artist is forced to participate in a brutal formal street-fight competition.,10/09/1980,95.0,Where the only rule is to stay alive.,854
White Sands,0,tt0105813,en,White Sands,"A small southwestern town sheriff finds a body in the desert with a suitcase and $500,000. He impersonates the man and stumbles into an FBI investigation.",24/04/1992,101.0,Crime Drama Thriller,9
Love Aaj Kal,12500000,tt1275863,hi,Love Aaj Kal,"Is love today different from what it was in the past when lovers like Laila-Majnu or Romeo-Juliet perished in each otherâ€™s arms? Today, in the age of online romance and one-night stands, many would say love is just a whirlwind. But no! â€˜Love Aaj Kalâ€™ will have you believe that certain things donâ€™t change with the passage of time.",31/07/2009,131.0,,20794985
The War,0,tt0111667,en,The War,The son of a Vietnam War Veteran must deal with neighborhood bullies as well as his dad's post-traumatic stress disorder while growing up in the deep south in the 1970's.,04/11/1994,126.0,,16
The Stepfather,0,tt0814335,en,The Stepfather,"Michael Harding (Penn Badgley) returns home from military school to find his mother (Sela Ward) happily in love and living with her new boyfriend, David (Dylan Walsh). As the two men get to know each other, Michael becomes more and more suspicious of the man who is always there with a helpful hand. Is he really the man of her dreams or could David be hiding a dark side?",16/10/2009,101.0,Daddy's home.,31198531
Cash,0,tt0872190,en,Cash,"'Cash' is a high octane heist thriller set in Cape Town, South Africa.The film revolves around an ace con artist,(Ajay Devgan) who hires a set of top notch robbers (Esha Deol, Zayed Khan, Dia Mirza and Riteish Deshmukh) to steal a set of priceless diamonds in South Africa. The group also faces a threat from underworld don (Suniel Shetty), who is after the same diamonds and also the Head of Security (Shamita Shetty). How these three groups manage to thwart each other forms the rest of the story and makes it a nonstop adventure caper.",03/08/2007,137.0,Earn money the hard way... steal it!,9510000
Manual of Love,0,tt0417944,it,Manuale d'amore,Four intertwined episodes on the joys and sorrows of love.,18/03/2005,116.0,,8312176
Deep Red,0,tt0073582,it,Profondo Rosso,"A musician witnesses the murder of a famous psychic, and then teams up with a fiesty reporter to find the killer while evading attempts on their lives by the unseen killer bent on keeping a dark secret buried.",07/03/1975,126.0,When the Screaming starts and the Blood begins to flow... Pinch yourself and keep repeating I'M AT THE MOVIES! I'M AT THE MOVIES! I'M AT THE MOVIES! I'M AT THE MOVIES!,2864091
The Tao of Steve,0,tt0234853,en,The Tao of Steve,"Underachieving, overweight kindergarten teacher Dex finds a woman who forces him to reexamine his Zen-like system of seduction.",04/08/2000,87.0,Why do women find this man irresistible?,4
Digimon: The Movie,5500000,tt0259974,en,Digimon: The Movie,"The first story focused on Tai and Kari Kamiya four years before their adventure in the Digital World. It shows their first encounter with Digimon and what happened to them (as well as the other children). Tai and Kari wake one morning to find a Digi-Egg that came out of their computer the night before and the egg soon hatches, revealing a Botamon. The Digimon then evolves into Koromon and then Agumon (not the same one that became friends with Tai in the series, and yet, somehow, both Koromon and Kari remember each other), who then goes out and unintentionally destroys a good part of the neighborhood with Kari riding on his back. A second Digi-Egg appears in the sky to reveal an evil digimon, Parrotmon. Agumon then Digivolves to Greymon but isn't strong enough to beat Parrotmon and is knocked out. Tai grabs Kari's whistle and wakes up Greymon, who defeats Parrotmon and disappears with him.",17/03/2000,82.0,,16600000
Mangal Pandey - The Rising,70000000,tt0346457,en,Mangal Pandey - The Rising,"The film begins in 1857, when India was ruled by the British East India Company. Mangal Pandey is a sepoy, a soldier of Indian origin, in the army of the East India Company. Pandey is fighting in the Anglo-Afghan Wars and saves the life of his British commanding officer, William Gordon. Gordon is indebted to Pandey and a strong friendship develops between them, transcending both rank and race.",12/08/2005,150.0,,7250000
The Crucible,25000000,tt0115988,en,The Crucible,"The movie is centered around the Salem Massachusetts witch trials of 1692. The movie is based on the play ""The Crucible"" by Arthur Miller. He also wrote the screen play adaptation.",27/11/1996,124.0,Arthur Miller's timeless tale of truth on trial.,7343114
Moscow Does Not Believe in Tears,0,tt0079579,ru,ÐœÐ¾ÑÐºÐ²Ð° ÑÐ»ÐµÐ·Ð°Ð¼ Ð½Ðµ Ð²ÐµÑ€Ð¸Ñ‚,"This is a life story of three girlfriends from youth to autumn ages. Their dreams and wishes, love, disillusions...",11/02/1980,142.0,,2500000
Spring Break,0,tt0086352,en,Spring Break,"Two sets of two college guys spend a spring break together in Fort Lauderdale, Florida. There they have lots of fun in and out of the sun.",25/03/1983,102.0,"Like it's really, totally, the most fun a couple of bodies can have. You know?",24071666
My Best Friend Is a Vampire,0,tt0095684,en,My Best Friend Is a Vampire,"Young student finds himself being transformed to a vampire after a night with a quite attractive female vampire. First, he does not quite believe it himself, but with the help of a 300 year old teacher and the handbook ""vampirism - a guide to an alternative lifestyle"", he finds out that blood does not taste as bad as he expected.",01/10/1987,89.0,,174
Lakshya,483719,tt0323013,hi,Lakshya,"Karan is a lazy good-for-nothing who lives on the generated income of his father and elder brother at their family business. Karan's days: hang out with buddies and romance a woman named Romi. When he watches an action movie, he decides to enlist in the army with a friend, but basic training proves to be too much of a bother and he shortly abandons it, thus making him lose respect on the home front. Romi also stops respecting him. Karan decides he must re-join the army and show his family and Romi that he, too, is focused upon the path he has to take in this lifetime, but will he be resilient enough to carry out this task?",18/06/2004,186.0,It took him 24 years and 18000 feet to find himself.,4600000
New Rose Hotel,0,tt0133122,en,New Rose Hotel,A corporate raider (Christopher Walken) and his henchman (Willem Dafoe) use a chanteuse (Asia Argento) to lure a scientific genius away from his employer and family.,05/09/1998,93.0,No possession is sacred.  No secret is safe.,21521
Satya,0,tt0195231,hi,Satya,"A young man named Satya comes to Mumbai from South India in search of a job. Jailed for something he did not do, the once-honest young man meets an underworld boss, Bhiku Mhatre in jail and joins his gang.",03/07/1998,170.0,The Other Side of Truth,2300000
Gulaal,0,tt1261047,en,Gulaal,"Gulaal is set in Rajpur a fictional city of Rajasthan, where a member of the erstwhile royal family stakes claim to the land of Rajasthan and wants to go back to the days of royalty. He wants Rajputana back from the Government of India and challenges the very idea of democracy. His history backs him, his people too, but the power corrupts him.",13/03/2009,140.0,,2000000
Dance Flick,0,tt1153706,en,Dance Flick,"Street dancer, Thomas Uncles is from the wrong side of the tracks, but his bond with the beautiful Megan White might help the duo realize their dreams as they enter in the mother of all dance battles.",22/05/2009,83.0,,32
The Wig,0,tt0475590,ko,ê°€ë°œ,"When Chi-Hyon takes home her young sister, Su Hyon, a terminal cancer patient, so that she can help her enjoy her remaining time on earth, she buys her a wig to mask the effects of chemotherapy -- not realizing that the wig is, in fact, demonic. Once in possession of the wicked hairpiece, Su Hyon begins committing all sorts of transgressions, including causing Chi-Hyon to have a car accident and trying to seduce her boyfriend.",12/08/2005,106.0,Some memories are more than permament,2146621
A Chinese Odyssey Part Two: Cinderella,0,tt0114996,cn,è¥¿éŠè¨˜å¤§çµå±€ä¹‹ä»™å±¥å¥‡ç·£,"This sequel to ""Pandora's Box"" continues director Jeffrey Lau's adaptation of the Buddhism saga ""Journey to the West"". Stranded five centuries in the past, Joker Monkey King must battle a variety of monsters, seductive women and super-powered villains to save the dying Pak Jing-Jing.",04/02/1995,99.0,,2692748
Looker,0,tt0082677,en,Looker,"Plastic surgeon Larry Roberts performs a series of minor alterations on a group of models who are seeking perfection. The operations are a resounding success. But when someone starts killing his beautiful patients, Dr. Roberts becomes suspicious and starts investigating. What he uncovers are the mysterious - and perhaps murderous - activities of a high-tech computer company called Digital Matrix.",30/10/1981,94.0,If Looks Could Kill...,3282232
Trespass,14000000,tt0105636,en,Trespass,"Two Arkansas firemen, Vince and Don, get hold of a map that leads to a cache of stolen gold in an abandoned factory in East St. Louis. What they don't know is that the factory is in the turf of a local gang, who come by to execute one of their enemies. Vince sees the shooting, the gang spots Vince, and extended mayhem ensues. As Vince and Don try to escape, gang leader King James argues with his subordinate Savon about how to get rid of the trespassers.",25/12/1992,101.0,They all came to the wrong place at the wrong time.,13249535
